,AAPL,AMGN,AMZN,COST,CRM,CSCO,GILD,INTC,ISRG,LCID,MSFT,NVDA,PEP,RXRX,SBUX,TSLA,WMT
AAPL,0.2996482321821975,0.13252976146481207,0.01966028558440966,0.08784234422556686,0.06511630558037125,0.03646096275909493,0.05328722602368895,0.022641667049109047,0.1202367777733103,0.11368664639741377,0.025445376944587574,0.015433151971949116,0.04139541518622842,0.255105879791708,0.037582011513692094,0.015617505820627289,0.027311509447563356
AMGN,0.0030499234541105365,0.6406574231962602,0.0029158539285936065,0.003385370315621671,0.003192022405388775,0.0029295653399263244,0.003535339021577204,0.0028784378214489334,0.004611082670644231,0.005728477016709562,0.002959183496336278,0.0030181317026493036,0.0032083355853628087,0.025865483934162724,0.0031079556691391472,0.0029549535040117297,0.0028611245252420496
AMZN,0.02335004326602065,0.15824754594185816,0.25137643263876747,0.10046414219340659,0.08301328169371167,0.041344303330359926,0.062070105966644466,0.02995691863472818,0.14500898050507524,0.12736888890151432,0.031061886873992552,0.0175090775668719,0.04901852252458595,0.2422384127686108,0.048781847099584136,0.018624155756962277,0.032365148757063804
COST,0.003457535295147216,0.00875000235991111,0.003428287295177702,0.6113801045106693,0.0039761856605494365,0.0037678890794134562,0.004106811650644639,0.0035482241897968787,0.006623875600112717,0.005577339837854189,0.003528020370497016,0.0033942738547473273,0.004090063969121041,0.006928787355914497,0.004005827257016789,0.0034049931819361444,0.0038663835928675087
CRM,0.0039664195702395376,0.01610802489930549,0.004013575355533417,0.006029409316034222,0.5508684321691522,0.004306776153092488,0.005219752402198952,0.0041495507621797725,0.011083349554592196,0.010376338539977962,0.0041586134416083135,0.0038760287253875817,0.004769725221619254,0.009584103202078894,0.004716143499586323,0.003891109540800322,0.004307453847391133
CSCO,0.006767932665032478,0.02948317893403065,0.006531738392891993,0.016363421146410394,0.010994804073983105,0.4245462744812203,0.010744836421930058,0.006924027409957644,0.02478317934035569,0.014095727370969318,0.007126823751252268,0.006285058370874703,0.009570738516006741,0.03251824779569862,0.009489582117742725,0.006176741972322741,0.007094955364349627
GILD,0.0038908130487245673,0.011790437583809063,0.00397505043876143,0.005378501217015371,0.004814340527737421,0.00443569833336116,0.6082045046670983,0.003964510385933714,0.007604603317204299,0.009436507829705952,0.003978462719852212,0.003884089260914465,0.004933722378348075,0.010717309987142693,0.0043970933250064535,0.0038136237893823138,0.004372435015730745
INTC,0.010077604691754456,0.05408333923615676,0.009841472760611366,0.03888045123677388,0.021814891156145055,0.014839982925598582,0.01948993966671018,0.3346118698160467,0.04041347674789109,0.04037976232343263,0.011671488363675736,0.009245166813104444,0.01863855891092987,0.06006166971913185,0.01431913308051566,0.009309412875699646,0.012417325124719854
ISRG,0.002963476587869261,0.006280792078185415,0.00291449999468294,0.004099633575164924,0.003359469095342652,0.003063815166945508,0.003502173239144707,0.002964322069034705,0.6308111790864718,0.0036135153263418818,0.003037524657558148,0.0029943886745169095,0.003234750993849968,0.005403906779869045,0.003244010755182817,0.002932364508775323,0.0030347482372443785
LCID,0.002861214147616859,0.005959517931452045,0.0028771658851421914,0.004028300252728283,0.003156901877509039,0.0030064229825469716,0.0032623294107599226,0.002944593107291307,0.0052243526935962506,0.41178756850489084,0.002906879165806962,0.002822337701770135,0.003084029414746231,0.006831250270180956,0.0030539971291378377,0.002890599612274999,0.0029359427596495377
MSFT,0.014146557144450789,0.09640605107342373,0.013938167687510689,0.050234603920745226,0.03700741782649652,0.02231549581943641,0.0322281296126309,0.015450339807737568,0.07291780983765357,0.06209753207459797,0.4034888217430571,0.012002612450166823,0.026765586528621085,0.1839749036374341,0.02433745203529028,0.011815696345935132,0.016930573553315707
NVDA,0.08100339999029578,0.6103752071665958,0.0817346173793539,0.42295049291241826,0.3773169427568534,0.20516393470699143,0.26459264716125025,0.1543895545866558,0.6267449617588478,0.74898484579078,0.13067393904391378,0.19025356212020436,0.26211074637256243,1.4372996717236035,0.20610164447796162,0.05536721595808236,0.1303351748254189
PEP,0.004728740468606535,0.010867460685002717,0.004717332968012027,0.008354744727375104,0.0060150079519064766,0.005212407440588551,0.006623798215222555,0.004817301437610298,0.01211864743512807,0.00784672866443211,0.004857197033453952,0.00460360786757435,0.4815356839940463,0.013070021872400903,0.006069058407228847,0.004553649380786813,0.005184802442310632
RXRX,0.00257902151694874,0.0049102028447250735,0.0025990311077229494,0.003343781436377973,0.002886356339872876,0.002765710809769148,0.002968446608251334,0.0026478746479606866,0.004572236903586023,0.005498689235869313,0.002642865701488691,0.0026107951015033755,0.0028459072815340174,0.33023328013411907,0.0027311972801290748,0.002643005686907781,0.0026853570670582728
SBUX,0.004825477010873722,0.011596554247994275,0.0047175350792434964,0.008308853271757382,0.006071866204078109,0.005179473965922867,0.006443831218399612,0.004809123111226899,0.010634216136374143,0.00902102475304947,0.004922743653519774,0.004667600827740854,0.005908152762146066,0.013749047850299434,0.501174165459943,0.004628538552371521,0.004989073779339844
TSLA,0.03702238276312396,0.33295356428256706,0.03529412156854835,0.22788464085430649,0.18326392536221525,0.08795197055096551,0.13658630977525787,0.057088118886324965,0.33062570159642446,0.4060721172660708,0.0549707693113359,0.028513537169207123,0.10474157615820709,0.8069946827234478,0.10440246024679796,0.2813537196157233,0.0646789663711732
WMT,0.005701298100741801,0.013022260291022058,0.0057588756317980576,0.01853471857659314,0.008375279268484125,0.0061858722952724534,0.007964930902662912,0.005876199384899359,0.014604345245602068,0.011252176187041673,0.005857980239620598,0.005420245892078788,0.007213196625398108,0.015213305322523208,0.00680461198717802,0.005457095708383639,0.41751605480219484
