,AAPL,AMGN,AMZN,COST,CRM,CSCO,GILD,INTC,ISRG,LCID,MSFT,NVDA,PEP,RXRX,SBUX,TSLA,WMT
AAPL,0.27977681054785847,0.09953361261824922,0.021116560309646943,0.05882156858375607,0.061038805299859146,0.03751327249391638,0.082075456354358,0.022507288642797624,0.1454934382911236,0.1424541885489121,0.01996610334065998,0.01534944873138256,0.03801768465749536,0.25669531676872237,0.05071463949976274,0.014763283273967462,0.022981670655253927
AMGN,0.002667761019314452,0.6461662254993522,0.002675091109300206,0.00325136143670212,0.0031379254956251878,0.0029612319412496116,0.004001838897628388,0.0027603629916494177,0.005354291333078669,0.0073442338329193484,0.0027050977913291407,0.002618770617702231,0.003194674102116529,0.007669308615754949,0.003031886738034809,0.0025792965385454825,0.0027211384823008014
AMZN,0.01916868175644529,0.09933710645269705,0.24138933401825413,0.053943874118149084,0.05595732434153567,0.039532278074379985,0.06297794658795101,0.022215250696753685,0.15541053772582572,0.12637528104149348,0.022086977790801692,0.015725170172916345,0.036574236262057996,0.2550796181131572,0.053548727622901554,0.01538781478327564,0.023004191409276713
COST,0.0038458846773026622,0.005840296350468381,0.004188938234938692,0.6296606148718861,0.0048861910192715685,0.0045996838694552416,0.007053861142253433,0.003940447962071839,0.012262223819013707,0.01634078383687207,0.0038335813627684025,0.003566254447171873,0.0049305046348530855,0.025045180457462242,0.0056027060757689005,0.0034593595821429102,0.004333259760203916
CRM,0.0036805589016420046,0.004772410985509167,0.003486402522133305,0.004305537369191538,0.5282764213853072,0.004295393329312949,0.004556645751054129,0.003966606152477277,0.00876966156786213,0.008077462125731147,0.003594817777376775,0.003455554101329321,0.003840202170027304,0.013264356663825453,0.004161095493866062,0.003793826938490437,0.003734583968590977
CSCO,0.005327304863539531,0.017258284959546,0.005316755683740132,0.009744416053837053,0.00812546187022229,0.4268953113848361,0.014110498626611706,0.005455014822049164,0.025077562945886554,0.016716701538497226,0.005380107682855375,0.00488319599509703,0.007697961012103437,0.040480816946056944,0.008055547788502688,0.004774118035545972,0.0055984167673099995
GILD,0.0029397997619534217,0.005287104281025441,0.0029781045721766534,0.003640995133202391,0.0036901535455057537,0.0031074719711746378,0.6152731549651012,0.002977606375390661,0.008731032346251964,0.00577560638735516,0.002955867252103282,0.0029120673445230272,0.0036057611091821784,0.01585023656883188,0.0037957800646562932,0.002833557068501097,0.0030118375383378893
INTC,0.009040838430756508,0.034678839814543214,0.009002660501883206,0.02098777655198769,0.020191293707846083,0.011952010349792286,0.02909222399477824,0.3478061299306704,0.052382732317612694,0.05305775748148371,0.008534520393256214,0.007827311485256342,0.019925876334565877,0.08177620679492564,0.021271852492653804,0.0077316349470952775,0.009439334216444507
ISRG,0.002167718161888637,0.00341992935945644,0.0021798461539285535,0.0025675177448223592,0.0025148389764914755,0.002266680325545825,0.0024777952119286193,0.002179575944137352,0.649918958861702,0.003303941492677148,0.0021949989363831963,0.0021315610744128918,0.0023955077455390353,0.007978865653795747,0.0025014926300238587,0.0021105811319559404,0.002212032448818393
LCID,0.002160003649887363,0.0025722305296514087,0.0022297969266841995,0.0028435698478137426,0.0025604404825549463,0.002231833514585545,0.0030400328226370746,0.003327019209549691,0.0030353671953225795,0.40908076417750405,0.0026816824656057,0.002332170953772975,0.0025138043624631508,0.0071498211563005105,0.0023773619673982766,0.0021806828324808414,0.0022117358460786623
MSFT,0.01645713941739428,0.07355566882662092,0.016213498719318056,0.04021316382121973,0.04391479048912348,0.029785031371617036,0.05218536765054721,0.01724429997273952,0.17361235851433238,0.11070910069863539,0.3325944236337337,0.01278328500702159,0.026328209259431704,0.22252648428599608,0.04262746490332571,0.012157338504248416,0.017620923634278557
NVDA,0.05449428888097161,0.32408293607659766,0.05864202315027317,0.37697706481358084,0.27365577451081313,0.1851394719704935,0.2996663689776756,0.11560412917194977,0.7058906022048261,0.6292803114750772,0.0593437229053178,0.18682296696857945,0.1585655355925116,0.9219675522965424,0.20633240774317177,0.034583219422453244,0.07939755012802101
PEP,0.003979777758732498,0.006845509533341872,0.003950740068416069,0.006092606090376612,0.0051003605839414256,0.004959539398807312,0.007748663276868606,0.0039702224950087985,0.01434049370406557,0.01121890142074773,0.004006098287548808,0.003896937487840837,0.5267924600989639,0.02094512353917066,0.006795484108694126,0.003738955960068166,0.004179868130991245
RXRX,0.002028543705255216,0.0033526509231301157,0.0020124978415997034,0.0024010031006077635,0.0027420925103903188,0.0023278884434742853,0.003160397552990924,0.002259923794269358,0.004913473351019284,0.0053899629889156,0.001991864583230699,0.0022142697780192875,0.0025642871691336534,0.28308815220405775,0.00245432493020397,0.001984432606535142,0.002549592802141777
SBUX,0.0035894082025095175,0.007903070773312105,0.0036357358596391374,0.005032229532483749,0.005461199845622666,0.004325828917322076,0.006937084158287632,0.003679014113982907,0.011337245653445873,0.012684497737192215,0.0035993008721767568,0.0035248163369175824,0.006949304844090419,0.019683634408733913,0.5581791087163409,0.0034637942570054313,0.0036834304515046714
TSLA,0.0378330749824423,0.31884162708028146,0.043878959477960396,0.15350832734987796,0.2192603213721977,0.11851493829222581,0.2498198167034546,0.07872662435865786,0.5429507126379799,0.6492534147710625,0.0474878256808515,0.028286209336656633,0.11688127848931965,1.1307321576004783,0.16866843806033816,0.26033584288584183,0.06050839500406648
