source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
RXRX,NVDA,1.4372996717236035,0.9219675522965424,0.5153321194270611,-0.3585418726379158
RXRX,TSLA,0.8069946827234478,1.1307321576004783,0.32373747487703053,0.4011643171834011
LCID,NVDA,0.74898484579078,0.6292803114750772,0.11970453431570272,-0.15982236942470404
ISRG,NVDA,0.6267449617588478,0.7058906022048261,0.07914564044597838,0.12628045538821042
AMGN,NVDA,0.6103752071665958,0.32408293607659766,0.2862922710899981,-0.46904307881140184
COST,NVDA,0.42295049291241826,0.37697706481358084,0.04597342809883742,-0.10869694629103512
LCID,TSLA,0.4060721172660708,0.6492534147710625,0.24318129750499168,0.5988623231597767
CRM,NVDA,0.3773169427568534,0.27365577451081313,0.10366116824604027,-0.27473233706740047
AMGN,TSLA,0.33295356428256706,0.31884162708028146,0.014111937202285596,-0.04238409884228858
ISRG,TSLA,0.33062570159642446,0.5429507126379799,0.21232501104155543,0.6421914678575519
GILD,NVDA,0.26459264716125025,0.2996663689776756,0.035073721816425374,0.13255742692455164
PEP,NVDA,0.26211074637256243,0.1585655355925116,0.10354521078005083,-0.3950437296547738
RXRX,AAPL,0.255105879791708,0.25669531676872237,0.001589436977014358,0.006230498944231044
RXRX,AMZN,0.2422384127686108,0.2550796181131572,0.012841205344546414,0.0530106049972613
COST,TSLA,0.22788464085430649,0.15350832734987796,0.07437631350442853,-0.32637702111837075
SBUX,NVDA,0.20610164447796162,0.20633240774317177,0.00023076326521015433,0.0011196575097597277
CSCO,NVDA,0.20516393470699143,0.1851394719704935,0.02002446273649794,-0.09760225055672543
RXRX,MSFT,0.1839749036374341,0.22252648428599608,0.038551580648561984,0.20954802960004076
CRM,TSLA,0.18326392536221525,0.2192603213721977,0.035996396009982445,0.19641832932833583
AMGN,AMZN,0.15824754594185816,0.09933710645269705,0.05891043948916111,-0.3722676103181362
INTC,NVDA,0.1543895545866558,0.11560412917194977,0.03878542541470602,-0.2512179208390508
ISRG,AMZN,0.14500898050507524,0.15541053772582572,0.01040155722075048,0.07173042984797849
GILD,TSLA,0.13658630977525787,0.2498198167034546,0.11323350692819673,0.8290252428977779
AMGN,AAPL,0.13252976146481207,0.09953361261824922,0.03299614884656285,-0.24897159696169585
MSFT,NVDA,0.13067393904391378,0.0593437229053178,0.07133021613859597,-0.5458640889059304
WMT,NVDA,0.1303351748254189,0.07939755012802101,0.05093762469739789,-0.39082021301943687
LCID,AMZN,0.12736888890151432,0.12637528104149348,0.0009936078600208398,-0.007801024179294578
ISRG,AAPL,0.1202367777733103,0.1454934382911236,0.025256660517813306,0.21005767856532578
LCID,AAPL,0.11368664639741377,0.1424541885489121,0.02876754215149832,0.25304238037343446
PEP,TSLA,0.10474157615820709,0.11688127848931965,0.012139702331112556,0.11590145592005953
SBUX,TSLA,0.10440246024679796,0.16866843806033816,0.0642659778135402,0.6155599351396692
COST,AMZN,0.10046414219340659,0.053943874118149084,0.046520268075257505,-0.4630534082017626
AMGN,MSFT,0.09640605107342373,0.07355566882662092,0.022850382246802817,-0.2370222576503749
CSCO,TSLA,0.08795197055096551,0.11851493829222581,0.0305629677412603,0.3474960717177936
COST,AAPL,0.08784234422556686,0.05882156858375607,0.02902077564181079,-0.3303733819256427
CRM,AMZN,0.08301328169371167,0.05595732434153567,0.027055957352175995,-0.3259231961551708
AMZN,NVDA,0.0817346173793539,0.05864202315027317,0.023092594229080735,-0.282531345275502
AAPL,NVDA,0.08100339999029578,0.05449428888097161,0.02650911110932417,-0.32725919948925564
ISRG,MSFT,0.07291780983765357,0.17361235851433238,0.1006945486766788,1.380931971099358
CRM,AAPL,0.06511630558037125,0.061038805299859146,0.004077500280512104,-0.06261871919763888
WMT,TSLA,0.0646789663711732,0.06050839500406648,0.004170571367106711,-0.0644810972760771
LCID,MSFT,0.06209753207459797,0.11070910069863539,0.04861156862403742,0.7828259702395336
GILD,AMZN,0.062070105966644466,0.06297794658795101,0.0009078406213065479,0.014626050026947068
RXRX,INTC,0.06006166971913185,0.08177620679492564,0.021714537075793794,0.3615372926188229
INTC,TSLA,0.057088118886324965,0.07872662435865786,0.021638505472332897,0.3790368662357095
TSLA,NVDA,0.05536721595808236,0.034583219422453244,0.020783996535629116,-0.3753844657372639
MSFT,TSLA,0.0549707693113359,0.0474878256808515,0.0074829436304844,-0.13612584220615717
AMGN,INTC,0.05408333923615676,0.034678839814543214,0.01940449942161355,-0.35878878981557055
GILD,AAPL,0.05328722602368895,0.082075456354358,0.02878823033066906,0.5402462668146495
COST,MSFT,0.050234603920745226,0.04021316382121973,0.010021440099525498,-0.1994927265756685
PEP,AMZN,0.04901852252458595,0.036574236262057996,0.012444286262527957,-0.2538690087526864
SBUX,AMZN,0.048781847099584136,0.053548727622901554,0.004766880523317418,0.0977183077221973
PEP,AAPL,0.04139541518622842,0.03801768465749536,0.0033777305287330597,-0.08159671059150699
CSCO,AMZN,0.041344303330359926,0.039532278074379985,0.0018120252559799405,-0.043827678101726636
ISRG,INTC,0.04041347674789109,0.052382732317612694,0.011969255569721601,0.29616983172940886
LCID,INTC,0.04037976232343263,0.05305775748148371,0.012677995158051084,0.3139689609070422
COST,INTC,0.03888045123677388,0.02098777655198769,0.01789267468478619,-0.46019707883153804
SBUX,AAPL,0.037582011513692094,0.05071463949976274,0.013132627986070643,0.349439105644865
AAPL,TSLA,0.03702238276312396,0.0378330749824423,0.000810692219318343,0.0218973480321842
CRM,MSFT,0.03700741782649652,0.04391479048912348,0.006907372662626962,0.18664827761094577
CSCO,AAPL,0.03646096275909493,0.03751327249391638,0.001052309734821448,0.02886126329580597
AMZN,TSLA,0.03529412156854835,0.043878959477960396,0.008584837909412044,0.2432369781570783
RXRX,CSCO,0.03251824779569862,0.040480816946056944,0.007962569150358326,0.24486456809539106
WMT,AMZN,0.032365148757063804,0.023004191409276713,0.00936095734778709,-0.28922945869202726
GILD,MSFT,0.0322281296126309,0.05218536765054721,0.01995723803791631,0.6192488389895966
MSFT,AMZN,0.031061886873992552,0.022086977790801692,0.00897490908319086,-0.2889362848508249
INTC,AMZN,0.02995691863472818,0.022215250696753685,0.007741667937974494,-0.25842662418335527
AMGN,CSCO,0.02948317893403065,0.017258284959546,0.01222489397448465,-0.4146394747813117
NVDA,TSLA,0.028513537169207123,0.028286209336656633,0.00022732783255048974,-0.007972625475233395
WMT,AAPL,0.027311509447563356,0.022981670655253927,0.004329838792309429,-0.15853525837778765
PEP,MSFT,0.026765586528621085,0.026328209259431704,0.0004373772691893818,-0.01634102452085026
RXRX,AMGN,0.025865483934162724,0.007669308615754949,0.018196175318407774,-0.7034922806702933
MSFT,AAPL,0.025445376944587574,0.01996610334065998,0.005479273603927595,-0.2153346544055239
ISRG,CSCO,0.02478317934035569,0.025077562945886554,0.0002943836055308638,0.011878358410130225
SBUX,MSFT,0.02433745203529028,0.04262746490332571,0.01829001286803543,0.7515168525589968
AAPL,AMZN,0.02335004326602065,0.01916868175644529,0.004181361509575363,-0.17907288955353873
INTC,AAPL,0.022641667049109047,0.022507288642797624,0.00013437840631142298,-0.00593500234191843
CSCO,MSFT,0.02231549581943641,0.029785031371617036,0.007469535552180627,0.33472400816811393
CRM,INTC,0.021814891156145055,0.020191293707846083,0.0016235974482989718,-0.07442607402516785
AMZN,AAPL,0.01966028558440966,0.021116560309646943,0.0014562747252372839,0.0740718632120714
GILD,INTC,0.01948993966671018,0.02909222399477824,0.009602284328068058,0.4926787648132947
PEP,INTC,0.01863855891092987,0.019925876334565877,0.0012873174236360078,0.06906739620342366
TSLA,AMZN,0.018624155756962277,0.01538781478327564,0.0032363409736866373,-0.17377105723389488
COST,WMT,0.01853471857659314,0.01308188311790578,0.00545283545868736,-0.294195592676418
NVDA,AMZN,0.0175090775668719,0.015725170172916345,0.001783907393955557,-0.10188465773229678
WMT,MSFT,0.016930573553315707,0.017620923634278557,0.0006903500809628503,0.04077532701627708
COST,CSCO,0.016363421146410394,0.009744416053837053,0.00661900509257334,-0.4044998285109254
AMGN,CRM,0.01610802489930549,0.004772410985509167,0.011335613913796323,-0.7037241963192584
TSLA,AAPL,0.015617505820627289,0.014763283273967462,0.0008542225466598267,-0.05469644189709016
INTC,MSFT,0.015450339807737568,0.01724429997273952,0.0017939601650019503,0.1161112976292311
NVDA,AAPL,0.015433151971949116,0.01534944873138256,8.370324056655547e-05,-0.005423596325801034
RXRX,WMT,0.015213305322523208,0.04320370973208322,0.027990404409560014,1.8398622401601323
CSCO,INTC,0.014839982925598582,0.011952010349792286,0.002887972575806296,-0.1946074092006218
ISRG,WMT,0.014604345245602068,0.020240874112508758,0.0056365288669066906,0.38594849085200567
SBUX,INTC,0.01431913308051566,0.021271852492653804,0.006952719412138144,0.4855541545358847
AAPL,MSFT,0.014146557144450789,0.01645713941739428,0.0023105822729434927,0.16333165844053232
LCID,CSCO,0.014095727370969318,0.016716701538497226,0.002620974167527908,0.18594090529282273
AMZN,MSFT,0.013938167687510689,0.016213498719318056,0.0022753310318073677,0.16324451322256991
RXRX,SBUX,0.013749047850299434,0.019683634408733913,0.00593458655843448,0.4316358708393414
RXRX,PEP,0.013070021872400903,0.02094512353917066,0.007875101666769756,0.6025311754135101
AMGN,WMT,0.013022260291022058,0.011926883229792422,0.0010953770612296358,-0.0841156754352443
WMT,INTC,0.012417325124719854,0.009439334216444507,0.002977990908275347,-0.23982528282955826
ISRG,PEP,0.01211864743512807,0.01434049370406557,0.0022218462689375003,0.18334095842144082
NVDA,MSFT,0.012002612450166823,0.01278328500702159,0.0007806725568547668,0.06504183232422814
