inst,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided,cross_in,policy
AAPL,0.559972154536614,0.559972154536614,0.0,0.0,0.0,1.0,1.0030806478245333,TOD
AMGN,0.47626120149124646,0.3838847204100992,0.09237648108114727,-0.03988461763543196,0.19384931876840106,0.0919,0.05126077960576514,Hfloor
AMZN,0.6203151748620301,0.6203151748620301,0.0,0.0,0.0,1.0,1.2218166162519883,TOD
COST,0.3404363854601744,0.4115193131949795,-0.07108292773480507,-0.14200128035479614,0.04630005261528468,0.9515,0.07152438330407895,Hfloor
CRM,0.3307792872469184,0.40341809946931223,-0.07263881222239382,-0.11307651925207782,-0.020337621920325732,0.9998,0.09989329647426692,Hfloor
CSCO,0.699306748592248,0.5230385138932924,0.17626823469895558,0.10165053197563127,0.23930934948122137,0.0,0.19992720693213922,Hfloor
GILD,0.49117795318765656,0.46259426980308793,0.028583683384568626,-0.0022503293763473592,0.06888342735836733,0.0759,0.08448113737787688,Hfloor
INTC,0.6146337180767841,0.5711601377943523,0.04347358028243187,-0.027892660007963224,0.12665348043454322,0.1362,0.3864450702994579,Hfloor
ISRG,0.4882906243158954,0.47922767596240834,0.009062948353487088,-0.026937992193637985,0.051567236744249685,0.3162,0.05449797561770475,Hfloor
LCID,0.49285331303334845,0.4568907480647132,0.03596256496863526,0.014578211622885445,0.05919140360794955,0.001,0.057974180318737356,Hfloor
MSFT,0.5092859408127586,0.5092859408127586,0.0,0.0,0.0,1.0,0.6317507630019776,TOD
NVDA,0.6979295877513766,0.6979295877513766,0.0,0.0,0.0,1.0,5.602043157840226,TOD
PEP,0.41799931031370685,0.5144316333722448,-0.096432323058538,-0.15381182826904516,-0.006135402398235369,0.9995,0.10784081836362613,Hfloor
RXRX,0.44744692067964176,0.3848141198027071,0.06263280087693468,0.014194499619221054,0.10826720134743024,0.0045,0.04957330093757134,Hfloor
SBUX,0.5007137477315868,0.483478975182147,0.017234772549439836,-0.05341415472769921,0.11148022449054235,0.3586,0.10822731692406862,Hfloor
TSLA,0.7073540739631928,0.7073540739631928,0.0,0.0,0.0,1.0,2.91863046464403,TOD
WMT,0.6447245508404164,0.6021862260107596,0.042538324829656804,-0.047347701207549324,0.1239473321042328,0.1672,0.14379693803579746,Hfloor
