policy,total_pnl,mean_daily_pnl,sharpe_of_daily,mean_fill,n_days
Hawkes-floor,163892.3708488476,7449.653220402164,3.5827707839425633,0.9915868193503155,22
Hawkes-select,182612.1269857089,8300.55122662313,3.509835203788652,0.9984809534938069,22
TOD,190737.84831180182,8669.902195990991,3.4606197001094214,0.9984809534938069,22
RealVol,157498.85528330825,7159.0388765140115,3.287484001213619,0.995384435615798,22
EWMA-count,142048.82084314956,6456.764583779525,3.1734630286600005,0.9980135545688246,22
Oracle,217010.72292419654,9864.123769281661,3.1481060340408087,0.9987730778219209,22
Hawkes-rolling,141649.2592103515,6438.602691379614,3.0499594938100603,0.9907104463659734,22
Hawkes-full,139899.47387430505,6359.066994286593,3.023624967489129,0.9922294928721663,22
Hawkes-self,168364.7304662228,7652.942293919218,3.01901551322863,0.9968450572563683,22
Imbalance,147160.96808760613,6689.134913073006,2.998478684743326,0.9945664874970788,22
Hawkes-cross,104741.08670946931,4760.958486794059,2.949868046972242,0.9827646646412713,22
Hawkes-TOD,142618.878687769,6482.6763039895,2.8367195982715847,0.9987146529562981,22
Hawkes-norm,148561.3117510905,6752.786897776841,2.688559975732708,0.9990652021500351,22
EWMA-vol,148171.99678303572,6735.09076286526,2.685389775214981,0.982238840850666,22
Hawkes-pull,180387.70500000002,8199.441136363637,2.5854619576974436,0.9957934096751578,22
Fixed,207895.37000000002,9449.789545454547,2.4114478910733625,0.9974877307782193,22
