threshold,n_floor,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided
0.05,1,0.816998380248914,0.8163391089040956,0.0006592713448184684,0.0002960471038361362,0.0011118682771936365,0.001
0.1,7,0.8391002530638929,0.8163391089040956,0.022761144159797353,-0.002414771490065753,0.04685389827780213,0.0319
0.15,10,0.8420599616071158,0.8163391089040956,0.02572085270302027,-0.0011936410982597149,0.05192611877485925,0.0258
0.2,11,0.8457885325232847,0.8163391089040956,0.02944942361918912,0.0014615429352447763,0.05740791659559413,0.017
0.3,11,0.8457885325232847,0.8163391089040956,0.02944942361918912,0.0014615429352447763,0.05740791659559413,0.017
0.4,12,0.8523599121852411,0.8163391089040956,0.03602080328114554,0.007003703765539307,0.06500335438539456,0.0049
0.5,12,0.8523599121852411,0.8163391089040956,0.03602080328114554,0.007003703765539307,0.06500335438539456,0.0049
0.6,12,0.8523599121852411,0.8163391089040956,0.03602080328114554,0.007003703765539307,0.06500335438539456,0.0049
0.7,13,0.8910768234821174,0.8163391089040956,0.07473771457802181,0.02316903076288247,0.12222322393994746,0.0002
1.0,13,0.8910768234821174,0.8163391089040956,0.07473771457802181,0.02316903076288247,0.12222322393994746,0.0002
1.5,15,0.9030412116116833,0.8163391089040956,0.08670210270758771,0.02857066648897645,0.14157830228232038,0.0002
2.0,15,0.9030412116116833,0.8163391089040956,0.08670210270758771,0.02857066648897645,0.14157830228232038,0.0002
5.0,16,0.8246919373150163,0.8163391089040956,0.008352828410920776,-0.06421702373555283,0.08105549991499049,0.4116
999.0,17,0.8154111804292251,0.8163391089040956,-0.000927928474870443,-0.07140873510488624,0.07136959790955442,0.5046
