date,inst,policy,total_pnl,fill_rate,total_fills,n_ticks
2025-12-01,AAPL,sel,1.4100000000000001,0.2184786384161167,1003.0,2879
2025-12-01,AAPL,tod,1.4100000000000001,0.2184786384161167,1003.0,2879
2025-12-01,AAPL,fix,1.4100000000000001,0.2184786384161167,1003.0,2879
2025-12-01,AAPL,qjn,0.6050000000000004,0.22195206668982287,902.0,2879
2025-12-01,AAPL,hgt,1.1350000000000005,0.2156998957971518,872.0,2879
2025-12-01,AAPL,hmin,1.4100000000000001,0.2184786384161167,1003.0,2879
2025-12-01,AAPL,hfg,1.9350000000000003,0.2111844390413338,969.0,2879
2025-12-01,AAPL,htg,1.9350000000000003,0.2111844390413338,969.0,2879
2025-12-01,AAPL,hinv,1.4100000000000001,0.2184786384161167,1003.0,2879
2025-12-01,AAPL,hfixfl,1.33,0.2184786384161167,907.0,2879
2025-12-02,AAPL,sel,4.055,0.21813129558874608,1011.0,2879
2025-12-02,AAPL,tod,4.055,0.21813129558874608,1011.0,2879
2025-12-02,AAPL,fix,4.055,0.21813129558874608,1011.0,2879
2025-12-02,AAPL,qjn,1.955000000000001,0.21882598124348732,917.0,2879
2025-12-02,AAPL,hgt,0.7950000000000004,0.20805835359499827,872.0,2879
2025-12-02,AAPL,hmin,4.055,0.21813129558874608,1011.0,2879
2025-12-02,AAPL,hfg,5.045,0.20771101076762766,960.0,2879
2025-12-02,AAPL,htg,5.045,0.20771101076762766,960.0,2879
2025-12-02,AAPL,hinv,4.055,0.21813129558874608,1011.0,2879
2025-12-02,AAPL,hfixfl,1.4500000000000006,0.21813129558874608,936.0,2879
2025-12-03,AAPL,sel,2.05,0.2184786384161167,998.0,2879
2025-12-03,AAPL,tod,2.05,0.2184786384161167,998.0,2879
2025-12-03,AAPL,fix,2.05,0.2184786384161167,998.0,2879
2025-12-03,AAPL,qjn,2.6100000000000003,0.21431052448766932,901.0,2879
2025-12-03,AAPL,hgt,1.3599999999999999,0.2042375824939215,855.0,2879
2025-12-03,AAPL,hmin,2.05,0.2184786384161167,998.0,2879
2025-12-03,AAPL,hfg,0.8350000000000001,0.20875303924973948,953.0,2879
2025-12-03,AAPL,htg,0.8350000000000001,0.20875303924973948,953.0,2879
2025-12-03,AAPL,hinv,2.05,0.2184786384161167,998.0,2879
2025-12-03,AAPL,hfixfl,2.3049999999999997,0.21431052448766932,912.0,2879
2025-12-04,AAPL,sel,4.545,0.2184786384161167,1005.0,2879
2025-12-04,AAPL,tod,4.545,0.2184786384161167,1005.0,2879
2025-12-04,AAPL,fix,4.545,0.2184786384161167,1005.0,2879
2025-12-04,AAPL,qjn,3.6050000000000013,0.21882598124348732,958.0,2879
2025-12-04,AAPL,hgt,2.085,0.21048975338659257,920.0,2879
2025-12-04,AAPL,hmin,4.545,0.2184786384161167,1005.0,2879
2025-12-04,AAPL,hfg,2.325,0.21014241055922195,968.0,2879
2025-12-04,AAPL,htg,2.325,0.21014241055922195,968.0,2879
2025-12-04,AAPL,hinv,4.545,0.2184786384161167,1005.0,2879
2025-12-04,AAPL,hfixfl,4.265000000000001,0.21778395276137547,959.0,2879
2025-12-05,AAPL,sel,3.29,0.2045849253212921,943.0,2879
2025-12-05,AAPL,tod,3.29,0.2045849253212921,943.0,2879
2025-12-05,AAPL,fix,3.29,0.2045849253212921,943.0,2879
2025-12-05,AAPL,qjn,2.2800000000000002,0.2000694685654741,845.0,2879
2025-12-05,AAPL,hgt,2.1400000000000006,0.19416464050017368,815.0,2879
2025-12-05,AAPL,hmin,3.29,0.2045849253212921,943.0,2879
2025-12-05,AAPL,hfg,2.9750000000000005,0.1990274400833623,915.0,2879
2025-12-05,AAPL,htg,2.9750000000000005,0.1990274400833623,915.0,2879
2025-12-05,AAPL,hinv,3.29,0.2045849253212921,943.0,2879
2025-12-05,AAPL,hfixfl,3.475,0.2042375824939215,886.0,2879
2025-12-08,AAPL,sel,1.2100000000000004,0.20562695380340396,925.0,2879
2025-12-08,AAPL,tod,1.2100000000000004,0.20562695380340396,925.0,2879
2025-12-08,AAPL,fix,1.2100000000000004,0.20562695380340396,925.0,2879
2025-12-08,AAPL,qjn,2.6400000000000006,0.20736366794025704,843.0,2879
2025-12-08,AAPL,hgt,2.9450000000000003,0.20076415422021535,815.0,2879
2025-12-08,AAPL,hmin,1.2100000000000004,0.20562695380340396,925.0,2879
2025-12-08,AAPL,hfg,1.5300000000000002,0.19868009725599167,891.0,2879
2025-12-08,AAPL,htg,1.5300000000000002,0.19868009725599167,891.0,2879
2025-12-08,AAPL,hinv,1.2100000000000004,0.20562695380340396,925.0,2879
2025-12-08,AAPL,hfixfl,2.4750000000000005,0.20284821118443905,856.0,2879
2025-12-09,AAPL,sel,1.4049999999999998,0.20771101076762766,947.0,2879
2025-12-09,AAPL,tod,1.4049999999999998,0.20771101076762766,947.0,2879
2025-12-09,AAPL,fix,1.4049999999999998,0.20771101076762766,947.0,2879
2025-12-09,AAPL,qjn,3.0149999999999997,0.20597429663077457,854.0,2879
2025-12-09,AAPL,hgt,2.1999999999999997,0.2000694685654741,825.0,2879
2025-12-09,AAPL,hmin,1.4049999999999998,0.20771101076762766,947.0,2879
2025-12-09,AAPL,hfg,1.9999999999999996,0.20145883987495658,914.0,2879
2025-12-09,AAPL,htg,1.9999999999999996,0.20145883987495658,914.0,2879
2025-12-09,AAPL,hinv,1.4049999999999998,0.20771101076762766,947.0,2879
2025-12-09,AAPL,hfixfl,1.5600000000000003,0.2091003820771101,905.0,2879
2025-12-10,AAPL,sel,4.09,0.20354289683918028,885.0,2879
2025-12-10,AAPL,tod,4.09,0.20354289683918028,885.0,2879
2025-12-10,AAPL,fix,4.09,0.20354289683918028,885.0,2879
2025-12-10,AAPL,qjn,3.8950000000000005,0.19868009725599167,780.0,2879
2025-12-10,AAPL,hgt,3.6500000000000004,0.19416464050017368,758.0,2879
2025-12-10,AAPL,hmin,4.09,0.20354289683918028,885.0,2879
2025-12-10,AAPL,hfg,3.7450000000000006,0.1993747829107329,863.0,2879
2025-12-10,AAPL,htg,3.7450000000000006,0.1993747829107329,863.0,2879
2025-12-10,AAPL,hinv,4.09,0.20354289683918028,885.0,2879
2025-12-10,AAPL,hfixfl,4.675000000000001,0.1990274400833623,832.0,2879
2025-12-11,AAPL,sel,2.9850000000000003,0.21431052448766932,978.0,2879
2025-12-11,AAPL,tod,2.9850000000000003,0.21431052448766932,978.0,2879
2025-12-11,AAPL,fix,2.9850000000000003,0.21431052448766932,978.0,2879
2025-12-11,AAPL,qjn,5.22,0.2139631816602987,883.0,2879
2025-12-11,AAPL,hgt,5.244999999999999,0.20805835359499827,856.0,2879
2025-12-11,AAPL,hmin,2.9850000000000003,0.21431052448766932,978.0,2879
2025-12-11,AAPL,hfg,3.2199999999999998,0.2084056964223689,948.0,2879
2025-12-11,AAPL,htg,3.2199999999999998,0.2084056964223689,948.0,2879
2025-12-11,AAPL,hinv,2.9850000000000003,0.21431052448766932,978.0,2879
2025-12-11,AAPL,hfixfl,4.3,0.21326849600555747,903.0,2879
2025-12-12,AAPL,sel,1.6050000000000004,0.21222646752344565,973.0,2879
2025-12-12,AAPL,tod,1.6050000000000004,0.21222646752344565,973.0,2879
2025-12-12,AAPL,fix,1.6050000000000004,0.21222646752344565,973.0,2879
2025-12-12,AAPL,qjn,-2.595,0.21743660993400488,931.0,2879
2025-12-12,AAPL,hgt,-1.2550000000000001,0.20701632511288642,880.0,2879
2025-12-12,AAPL,hmin,1.6050000000000004,0.21222646752344565,973.0,2879
2025-12-12,AAPL,hfg,1.1350000000000002,0.20076415422021535,914.0,2879
2025-12-12,AAPL,htg,1.1350000000000002,0.20076415422021535,914.0,2879
2025-12-12,AAPL,hinv,1.6050000000000004,0.21222646752344565,973.0,2879
2025-12-12,AAPL,hfixfl,-1.3599999999999999,0.2139631816602987,919.0,2879
2025-12-15,AAPL,sel,1.5350000000000004,0.2278568947551233,1093.0,2879
2025-12-15,AAPL,tod,1.5350000000000004,0.2278568947551233,1093.0,2879
2025-12-15,AAPL,fix,1.5350000000000004,0.2278568947551233,1093.0,2879
2025-12-15,AAPL,qjn,5.625,0.22612018061827024,979.0,2879
2025-12-15,AAPL,hgt,4.995,0.20736366794025704,891.0,2879
2025-12-15,AAPL,hmin,1.5350000000000004,0.2278568947551233,1093.0,2879
2025-12-15,AAPL,hfg,2.095,0.21048975338659257,1003.0,2879
2025-12-15,AAPL,htg,2.095,0.21048975338659257,1003.0,2879
2025-12-15,AAPL,hinv,1.5350000000000004,0.2278568947551233,1093.0,2879
2025-12-15,AAPL,hfixfl,0.8249999999999997,0.22716220910038207,977.0,2879
2025-12-16,AAPL,sel,-0.05500000000000016,0.2018061827023272,914.0,2879
2025-12-16,AAPL,tod,-0.05500000000000016,0.2018061827023272,914.0,2879
2025-12-16,AAPL,fix,-0.05500000000000016,0.2018061827023272,914.0,2879
2025-12-16,AAPL,qjn,1.0000000000000009,0.20944772490448071,829.0,2879
2025-12-16,AAPL,hgt,2.5750000000000006,0.2038902396665509,804.0,2879
2025-12-16,AAPL,hmin,-0.05500000000000016,0.2018061827023272,914.0,2879
2025-12-16,AAPL,hfg,1.025,0.19624869746439735,888.0,2879
2025-12-16,AAPL,htg,1.025,0.19624869746439735,888.0,2879
2025-12-16,AAPL,hinv,-0.05500000000000016,0.2018061827023272,914.0,2879
2025-12-16,AAPL,hfixfl,1.675,0.20527961097603334,857.0,2879
2025-12-17,AAPL,sel,1.815,0.21257381035081627,991.0,2879
2025-12-17,AAPL,tod,1.815,0.21257381035081627,991.0,2879
2025-12-17,AAPL,fix,1.815,0.21257381035081627,991.0,2879
2025-12-17,AAPL,qjn,3.0550000000000006,0.21882598124348732,936.0,2879
2025-12-17,AAPL,hgt,2.9800000000000004,0.21187912469607503,901.0,2879
2025-12-17,AAPL,hmin,1.815,0.21257381035081627,991.0,2879
2025-12-17,AAPL,hfg,2.195,0.20597429663077457,958.0,2879
2025-12-17,AAPL,htg,2.195,0.20597429663077457,958.0,2879
2025-12-17,AAPL,hinv,1.815,0.21257381035081627,991.0,2879
2025-12-17,AAPL,hfixfl,2.075,0.21813129558874608,951.0,2879
2025-12-18,AAPL,sel,-1.0499999999999996,0.2063216394581452,950.0,2879
2025-12-18,AAPL,tod,-1.0499999999999996,0.2063216394581452,950.0,2879
2025-12-18,AAPL,fix,-1.0499999999999996,0.2063216394581452,950.0,2879
2025-12-18,AAPL,qjn,1.3450000000000006,0.2038902396665509,830.0,2879
2025-12-18,AAPL,hgt,1.6300000000000008,0.19138589788120874,775.0,2879
2025-12-18,AAPL,hmin,-1.0499999999999996,0.2063216394581452,950.0,2879
2025-12-18,AAPL,hfg,0.25500000000000034,0.19312261201806183,886.0,2879
2025-12-18,AAPL,htg,0.25500000000000034,0.19312261201806183,886.0,2879
2025-12-18,AAPL,hinv,-1.0499999999999996,0.2063216394581452,950.0,2879
2025-12-18,AAPL,hfixfl,5.080000000000001,0.20944772490448071,882.0,2879
2025-12-19,AAPL,sel,2.170000000000001,0.21778395276137547,1036.0,2879
2025-12-19,AAPL,tod,2.170000000000001,0.21778395276137547,1036.0,2879
2025-12-19,AAPL,fix,2.170000000000001,0.21778395276137547,1036.0,2879
2025-12-19,AAPL,qjn,5.215,0.2184786384161167,940.0,2879
2025-12-19,AAPL,hgt,5.085,0.2111844390413338,904.0,2879
2025-12-19,AAPL,hmin,2.170000000000001,0.21778395276137547,1036.0,2879
2025-12-19,AAPL,hfg,1.1400000000000006,0.21083709621396318,999.0,2879
2025-12-19,AAPL,htg,1.1400000000000006,0.21083709621396318,999.0,2879
2025-12-19,AAPL,hinv,2.170000000000001,0.21778395276137547,1036.0,2879
2025-12-19,AAPL,hfixfl,2.9250000000000003,0.21917332407085793,940.0,2879
2025-12-22,AAPL,sel,1.6900000000000004,0.2160472386245224,979.0,2879
2025-12-22,AAPL,tod,1.6900000000000004,0.2160472386245224,979.0,2879
2025-12-22,AAPL,fix,1.6900000000000004,0.2160472386245224,979.0,2879
2025-12-22,AAPL,qjn,1.8249999999999997,0.2184786384161167,907.0,2879
2025-12-22,AAPL,hgt,3.36,0.21326849600555747,884.0,2879
2025-12-22,AAPL,hmin,1.6900000000000004,0.2160472386245224,979.0,2879
2025-12-22,AAPL,hfg,1.9900000000000004,0.21187912469607503,958.0,2879
2025-12-22,AAPL,htg,1.9900000000000004,0.21187912469607503,958.0,2879
2025-12-22,AAPL,hinv,1.6900000000000004,0.2160472386245224,979.0,2879
2025-12-22,AAPL,hfixfl,2.6400000000000006,0.21674192427926364,933.0,2879
2025-12-23,AAPL,sel,4.5649999999999995,0.2111844390413338,937.0,2879
2025-12-23,AAPL,tod,4.5649999999999995,0.2111844390413338,937.0,2879
2025-12-23,AAPL,fix,4.5649999999999995,0.2111844390413338,937.0,2879
2025-12-23,AAPL,qjn,3.0349999999999997,0.2111844390413338,844.0,2879
2025-12-23,AAPL,hgt,3.5499999999999994,0.20597429663077457,819.0,2879
2025-12-23,AAPL,hmin,4.5649999999999995,0.2111844390413338,937.0,2879
2025-12-23,AAPL,hfg,3.2950000000000004,0.2063216394581452,913.0,2879
2025-12-23,AAPL,htg,3.2950000000000004,0.2063216394581452,913.0,2879
2025-12-23,AAPL,hinv,4.5649999999999995,0.2111844390413338,937.0,2879
2025-12-23,AAPL,hfixfl,3.325,0.20979506773185133,881.0,2879
2025-12-24,AAPL,sel,3.44,0.11358110455019103,500.0,2879
2025-12-24,AAPL,tod,3.44,0.11358110455019103,500.0,2879
2025-12-24,AAPL,fix,3.44,0.11358110455019103,500.0,2879
2025-12-24,AAPL,qjn,2.84,0.11392844737756165,452.0,2879
2025-12-24,AAPL,hgt,2.8499999999999996,0.11080236193122613,438.0,2879
2025-12-24,AAPL,hmin,3.44,0.11358110455019103,500.0,2879
2025-12-24,AAPL,hfg,2.1849999999999996,0.11045501910385551,486.0,2879
2025-12-24,AAPL,htg,2.1849999999999996,0.11045501910385551,486.0,2879
2025-12-24,AAPL,hinv,3.38,0.11184439041333796,495.0,2879
2025-12-24,AAPL,hfixfl,3.345,0.11288641889544981,476.0,2879
2025-12-26,AAPL,sel,3.1550000000000007,0.19798541160125044,844.0,2879
2025-12-26,AAPL,tod,3.1550000000000007,0.19798541160125044,844.0,2879
2025-12-26,AAPL,fix,3.1550000000000007,0.19798541160125044,844.0,2879
2025-12-26,AAPL,qjn,0.7800000000000005,0.1879124696075026,693.0,2879
2025-12-26,AAPL,hgt,1.3350000000000004,0.18200764154220214,666.0,2879
2025-12-26,AAPL,hmin,3.1550000000000007,0.19798541160125044,844.0,2879
2025-12-26,AAPL,hfg,3.3150000000000004,0.19208058353594998,812.0,2879
2025-12-26,AAPL,htg,3.3150000000000004,0.19208058353594998,812.0,2879
2025-12-26,AAPL,hinv,3.055,0.19798541160125044,836.0,2879
2025-12-26,AAPL,hfixfl,1.655,0.1945119833275443,774.0,2879
2025-12-29,AAPL,sel,0.375,0.21465786731503994,944.0,2879
2025-12-29,AAPL,tod,0.375,0.21465786731503994,944.0,2879
2025-12-29,AAPL,fix,0.375,0.21465786731503994,944.0,2879
2025-12-29,AAPL,qjn,0.6950000000000001,0.2136158388329281,842.0,2879
2025-12-29,AAPL,hgt,1.34,0.2063216394581452,806.0,2879
2025-12-29,AAPL,hmin,0.375,0.21465786731503994,944.0,2879
2025-12-29,AAPL,hfg,0.7999999999999998,0.2066689822855158,904.0,2879
2025-12-29,AAPL,htg,0.7999999999999998,0.2066689822855158,904.0,2879
2025-12-29,AAPL,hinv,0.375,0.21465786731503994,944.0,2879
2025-12-29,AAPL,hfixfl,-0.5250000000000001,0.21187912469607503,867.0,2879
2025-12-30,AAPL,sel,2.315,0.2091003820771101,902.0,2879
2025-12-30,AAPL,tod,2.315,0.2091003820771101,902.0,2879
2025-12-30,AAPL,fix,2.315,0.2091003820771101,902.0,2879
2025-12-30,AAPL,qjn,3.285,0.20597429663077457,806.0,2879
2025-12-30,AAPL,hgt,1.8350000000000004,0.20041681139284473,781.0,2879
2025-12-30,AAPL,hmin,2.315,0.2091003820771101,902.0,2879
2025-12-30,AAPL,hfg,1.9249999999999998,0.20354289683918028,876.0,2879
2025-12-30,AAPL,htg,1.9249999999999998,0.20354289683918028,876.0,2879
2025-12-30,AAPL,hinv,2.315,0.2091003820771101,902.0,2879
2025-12-30,AAPL,hfixfl,1.5450000000000004,0.2084056964223689,841.0,2879
2025-12-31,AAPL,sel,1.5899999999999999,0.22905915045653036,876.0,2519
2025-12-31,AAPL,tod,1.5899999999999999,0.22905915045653036,876.0,2519
2025-12-31,AAPL,fix,1.5899999999999999,0.22905915045653036,876.0,2519
2025-12-31,AAPL,qjn,1.29,0.23938070662961491,788.0,2519
2025-12-31,AAPL,hgt,1.08,0.23263199682413657,755.0,2519
2025-12-31,AAPL,hmin,1.5899999999999999,0.22905915045653036,876.0,2519
2025-12-31,AAPL,hfg,1.53,0.22151647479158396,840.0,2519
2025-12-31,AAPL,htg,1.53,0.22151647479158396,840.0,2519
2025-12-31,AAPL,hinv,1.5899999999999999,0.22905915045653036,876.0,2519
2025-12-31,AAPL,hfixfl,1.38,0.2294561333862644,793.0,2519
2025-12-01,AMGN,sel,0.33999999999999997,0.011114970475859673,32.0,2879
2025-12-01,AMGN,tod,0.20000000000000007,0.01667245571378951,48.0,2879
2025-12-01,AMGN,fix,1.3750000000000002,0.017019798541160126,53.0,2879
2025-12-01,AMGN,qjn,1.365,0.02049322681486627,65.0,2879
2025-12-01,AMGN,hgt,1.29,0.018409169850642584,55.0,2879
2025-12-01,AMGN,hmin,0.19500000000000015,0.017019798541160126,49.0,2879
2025-12-01,AMGN,hfg,0.8650000000000001,0.014241055922195206,41.0,2879
2025-12-01,AMGN,htg,0.345,0.013893713094824591,40.0,2879
2025-12-01,AMGN,hinv,-0.185,0.0187565126780132,60.0,2879
2025-12-01,AMGN,hfixfl,0.21,0.0093782563390066,27.0,2879
2025-12-02,AMGN,sel,-0.43000000000000005,0.005904828065300452,17.0,2879
2025-12-02,AMGN,tod,0.2799999999999998,0.012156998957971519,37.0,2879
2025-12-02,AMGN,fix,-0.515,0.014588398749565822,43.0,2879
2025-12-02,AMGN,qjn,-1.2249999999999999,0.019451198332754428,61.0,2879
2025-12-02,AMGN,hgt,-1.5,0.014935741576936437,46.0,2879
2025-12-02,AMGN,hmin,0.6949999999999997,0.014241055922195206,43.0,2879
2025-12-02,AMGN,hfg,-0.365,0.012504341785342132,36.0,2879
2025-12-02,AMGN,htg,0.15999999999999986,0.010420284821118444,31.0,2879
2025-12-02,AMGN,hinv,-0.455,0.013546370267453978,43.0,2879
2025-12-02,AMGN,hfixfl,-0.52,0.00798888502952414,23.0,2879
2025-12-03,AMGN,sel,1.4300000000000002,0.013893713094824591,40.0,2879
2025-12-03,AMGN,tod,0.7599999999999998,0.01806182702327197,53.0,2879
2025-12-03,AMGN,fix,0.495,0.021882598124348732,66.0,2879
2025-12-03,AMGN,qjn,-0.36999999999999994,0.03195554011809656,96.0,2879
2025-12-03,AMGN,hgt,-0.6399999999999999,0.0281347690170198,82.0,2879
2025-12-03,AMGN,hmin,1.13,0.019103855505383814,57.0,2879
2025-12-03,AMGN,hfg,0.27,0.017714484195901353,53.0,2879
2025-12-03,AMGN,htg,0.4499999999999998,0.01597777005904828,46.0,2879
2025-12-03,AMGN,hinv,1.2550000000000001,0.02049322681486627,66.0,2879
2025-12-03,AMGN,hfixfl,1.145,0.014935741576936437,43.0,2879
2025-12-04,AMGN,sel,0.044999999999999984,0.010420284821118444,30.0,2879
2025-12-04,AMGN,tod,-0.5049999999999999,0.01806182702327197,52.0,2879
2025-12-04,AMGN,fix,0.3999999999999999,0.01597777005904828,46.0,2879
2025-12-04,AMGN,qjn,0.985,0.023619312261201807,70.0,2879
2025-12-04,AMGN,hgt,1.5550000000000002,0.019451198332754428,56.0,2879
2025-12-04,AMGN,hmin,-0.635,0.017714484195901353,51.0,2879
2025-12-04,AMGN,hfg,0.46499999999999997,0.012504341785342132,36.0,2879
2025-12-04,AMGN,htg,-0.285,0.013893713094824591,40.0,2879
2025-12-04,AMGN,hinv,-0.945,0.02466134074331365,76.0,2879
2025-12-04,AMGN,hfixfl,-0.044999999999999984,0.009725599166377214,28.0,2879
2025-12-05,AMGN,sel,0.8999999999999999,0.012504341785342132,37.0,2879
2025-12-05,AMGN,tod,-0.605,0.019103855505383814,59.0,2879
2025-12-05,AMGN,fix,0.17999999999999997,0.018409169850642584,55.0,2879
