inst,k_hawkes,k_hawkes_norm,k_hawkes_self,k_ewma,k_rvol,k_evol,k_imbal,k_tod,tau_gate
AAPL,0.0019737948588157686,0.004689655486926543,0.001063764854316312,6.193644990970606e-05,0.21655612406317545,0.09114472598521194,0.014267977510008571,0.0032364366763473562,12.6646597245876
AMGN,0.08054531205964922,0.02995781034986427,0.03390012833314499,0.0028600645757603915,1.0803315190764666,0.27730201165910606,0.04912190125853851,0.03836123827417535,2.1226341641112594
AMZN,0.0012037516980200696,0.006795395920083764,0.000830736107491936,3.777297646467454e-05,0.2450539712794255,0.06290102436234453,0.014267977510008571,0.0032364366763473562,10.431304408180125
COST,0.06290102436234453,0.04912190125853851,0.043409410945776605,0.006005144883981762,0.6588581861506815,0.2450539712794255,0.08054531205964922,0.05558613053440591,1.68968783025746
CRM,0.02647395290480231,0.02995781034986427,0.014267977510008571,0.000830736107491936,0.6588581861506815,0.1691172544644807,0.02995781034986427,0.01614558150261835,2.9668074266312483
CSCO,0.0019737948588157686,0.003662337713903369,0.001063764854316312,8.97470400958435e-05,0.40181564806038084,0.1494502494606524,0.004689655486926543,0.0032364366763473562,4.172384978042117
GILD,0.007689640567018716,0.008701563933188907,0.0032364366763473562,0.0003496424550953133,0.582238167188866,0.10313897683787221,0.014267977510008571,0.006795395920083764,2.36796175955561
INTC,0.0012037516980200696,0.0028600645757603915,0.001063764854316312,4.2743736432096545e-05,0.27730201165910606,0.13207036227366312,0.004689655486926543,0.0032364366763473562,7.499362999298784
ISRG,0.10313897683787221,0.11671161911100682,0.08054531205964922,0.005306793820656121,1.0803315190764666,0.4546928455862411,0.08054531205964922,0.05558613053440591,2.0151347397622263
LCID,0.006005144883981762,0.0032364366763473562,0.004144285481839415,0.00021323527981697614,0.6588581861506815,0.13207036227366312,0.004689655486926543,0.0032364366763473562,1.5272177557438669
MSFT,0.006005144883981762,0.01614558150261835,0.0032364366763473562,0.00024129611832536096,0.3137937543664821,0.10313897683787221,0.02647395290480231,0.012608724076806795,8.886848917290033
NVDA,0.0001665238756632532,0.002527461586781727,0.00011492187010036997,3.6061765077612335e-06,0.09114472598521194,0.023395240647448256,0.014267977510008571,0.0032364366763473562,36.3174738671345
PEP,0.008701563933188907,0.005306793820656121,0.004689655486926543,0.00027304964154553223,0.4546928455862411,0.13207036227366312,0.012608724076806795,0.006005144883981762,2.530159751825414
RXRX,0.008701563933188907,0.0032364366763473562,0.006795395920083764,0.00018843769586593097,1.5654199796841295,0.582238167188866,0.004689655486926543,0.0032364366763473562,1.3390975068544975
SBUX,0.0032364366763473562,0.004689655486926543,0.0017442580591096614,8.97470400958435e-05,0.4546928455862411,0.1691172544644807,0.00984665202794123,0.0032364366763473562,3.090002591161312
TSLA,0.0013621602035512731,0.01614558150261835,0.001063764854316312,2.606798020576923e-05,0.13207036227366312,0.06290102436234453,0.03836123827417535,0.00984665202794123,31.341488273003584
WMT,0.004689655486926543,0.004144285481839415,0.0017442580591096614,5.4733728495201506e-05,0.40181564806038084,0.1691172544644807,0.008701563933188907,0.0032364366763473562,3.4810372532642715
SPY,0.000447720223008213,0.003662337713903369,0.00024129611832536096,6.691189901715635e-06,0.05558613053440591,0.023395240647448256,0.014267977510008571,0.0032364366763473562,23.612405100754433
