inst,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided,cross_in,policy
AAPL,0.6547098311951445,0.6547098311951445,0.0,0.0,0.0,1.0,1.0159313338597342,TOD
AMGN,0.4179177480061296,0.4005663159871989,0.01735143201893069,-0.12060654909717773,0.11743648367095909,0.4742,0.05360431192234727,Hfloor
AMZN,0.6047631516957505,0.6047631516957505,0.0,0.0,0.0,1.0,1.2389818417970024,TOD
COST,0.34933077552536673,0.43789533127757685,-0.08856455575221012,-0.15793591908694482,0.036594197359067146,0.9913,0.07544194175487418,Hfloor
CRM,0.22902186042903241,0.39484507989103435,-0.16582321946200193,-0.22740628511172647,-0.03792595330037341,1.0,0.10321248224358104,Hfloor
CSCO,0.6650227388596529,0.5507408764343683,0.1142818624252846,0.047568772556553895,0.17766169421133024,0.0002,0.20377678729204357,Hfloor
GILD,0.44725873640381175,0.48803025989369364,-0.04077152348988189,-0.0761272392161185,0.00047253870199472385,0.9815,0.08766216836132834,Hfloor
INTC,0.5936079161129811,0.556662068996142,0.036945847116839126,-0.025754979142390208,0.10600350899156442,0.1353,0.3950631891835921,Hfloor
ISRG,0.463670534120276,0.46771707922146954,-0.004046545101193566,-0.035560892706058424,0.04201914435962553,0.5449,0.05725976292093471,Hfloor
LCID,0.476100128638517,0.44908515762154966,0.027014971016967315,0.007035889376341091,0.049197745719487394,0.0092,0.06106233310332382,Hfloor
MSFT,0.4800566960542877,0.4800566960542877,0.0,0.0,0.0,1.0,0.6443166236757927,TOD
NVDA,0.6567225486130537,0.6567225486130537,0.0,0.0,0.0,1.0,5.630326652472531,TOD
PEP,0.3955745637800992,0.49731759209600884,-0.10174302831590964,-0.15611538745754278,-0.018104880527645084,1.0,0.11241263834876791,Hfloor
RXRX,0.4589199873659358,0.3724729557468471,0.08644703161908873,0.04416356074819583,0.1204409205690457,0.0,0.051655182310503034,Hfloor
SBUX,0.44584926475967424,0.49387767643168645,-0.04802841167201222,-0.11449480274969911,0.05793548394436619,0.7908,0.11189420399365047,Hfloor
TSLA,0.6536841807091447,0.6536841807091447,0.0,0.0,0.0,1.0,2.9881563486942375,TOD
WMT,0.4379147014411385,0.6036623336224255,-0.16574763218128702,-0.27846587255703803,-0.06298466162901237,0.9992,0.14916139774993364,Hfloor
SPY,0.8457877727154341,0.8457877727154341,0.0,0.0,0.0,1.0,3.129630958960576,TOD
