policy,total_pnl,mean_daily_pnl,sharpe_of_daily,mean_fill,n_days
Hawkes-floor,170166.87965561252,7734.858166164206,2.797516853897272,0.9855106333255435,22
TOD,198558.0296350745,9025.364983412477,2.766072564050171,0.9986562280906753,22
Hawkes-select,190817.29176727938,8673.513262149063,2.7278220368814265,0.9986562280906753,22
RealVol,164936.72310880176,7497.123777672808,2.605624431202593,0.9924631923346575,22
Oracle,231383.54505027566,10517.433865921621,2.5934224710973854,0.9988315026875437,22
Imbalance,145476.70751771991,6612.577614441814,2.560124394044858,0.9928137415283945,22
Hawkes-rolling,144449.51801341347,6565.887182427885,2.489121562077519,0.9843421360130872,22
EWMA-count,136061.51771487715,6184.614441585325,2.47735526794826,0.9967282075251227,22
Hawkes-full,147685.67575176543,6712.985261443883,2.407052000837254,0.9860364571161486,22
Hawkes-pull,188658.285,8575.37659090909,2.302599213821447,0.9932811404533769,22
Hawkes-TOD,144028.89343827197,6546.767883557817,2.2466794687026233,0.9825893900444029,22
EWMA-vol,156276.14287835688,7103.461039925313,2.2039899421565146,0.9822972657162888,22
Hawkes-norm,160247.0794956285,7283.958158892205,2.1998487461094385,0.9976630053750877,22
Hawkes-cross,107959.5170147084,4907.250773395836,2.191500129878745,0.9820635662537976,22
Fixed,230271.91499999998,10466.905227272726,2.128021258694028,0.9976630053750877,22
Hawkes-self,172880.70321261053,7858.213782391388,2.1080013592647058,0.9987146529562981,22
