threshold,n_floor,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided
0.05,0,0.7856837111702858,0.7856837111702858,0.0,0.0,0.0,1.0
0.1,6,0.8120845408056206,0.7856837111702858,0.026400829635334855,0.00485087175778112,0.04812835684893575,0.0059
0.15,10,0.8142167458396126,0.7856837111702858,0.028533034669326773,0.006218029040221535,0.051183810724014914,0.0036
0.2,10,0.8142167458396126,0.7856837111702858,0.028533034669326773,0.006218029040221535,0.051183810724014914,0.0036
0.3,11,0.8176476686664018,0.7856837111702858,0.031963957496116024,0.00878109158663096,0.05582738980477704,0.0016
0.4,12,0.8239595638660091,0.7856837111702858,0.03827585269572331,0.013859806222077884,0.0637653600663711,0.0004
0.5,12,0.8239595638660091,0.7856837111702858,0.03827585269572331,0.013859806222077884,0.0637653600663711,0.0004
0.6,12,0.8239595638660091,0.7856837111702858,0.03827585269572331,0.013859806222077884,0.0637653600663711,0.0004
0.7,13,0.8458227286552514,0.7856837111702858,0.06013901748496564,0.01708296524818228,0.11080628752138257,0.0057
1.0,13,0.8458227286552514,0.7856837111702858,0.06013901748496564,0.01708296524818228,0.11080628752138257,0.0057
1.5,15,0.8528654766042393,0.7856837111702858,0.06718176543395349,0.019937446847661803,0.12240306263531828,0.0046
2.0,15,0.8528654766042393,0.7856837111702858,0.06718176543395349,0.019937446847661803,0.12240306263531828,0.0046
5.0,17,0.8107656876893462,0.7856837111702858,0.02508197651906041,-0.04426319996106895,0.10359476574620949,0.2455
999.0,18,0.8036915549338461,0.7856837111702858,0.01800784376356035,-0.05373166103350704,0.09869775014475038,0.3162
